Gene stable ID,Gene name,Mouse gene name,Mouse gene stable ID,Mouse homology type,"Mouse orthology confidence [0 low, 1 high]",Mouse Gene-order conservation score
ENSG00000198727,MT-CYB,mt-Cytb,ENSMUSG00000064370,ortholog_one2one,1,50
ENSG00000210195,MT-TT,,,,,
ENSG00000210196,MT-TP,,,,,
ENSG00000278704,,,,,,
ENSG00000277630,,,,,,
ENSG00000276197,,,,,,
ENSG00000277428,Y_RNA,,,,,
ENSG00000271254,,,,,,
ENSG00000278573,,,,,,
ENSG00000278625,U6,,,,,
ENSG00000278457,5S_rRNA,,,,,
ENSG00000277374,U1,Gm22866,ENSMUSG00000065881,ortholog_one2many,0,
ENSG00000276932,Y_RNA,,,,,
ENSG00000277400,,,,,,
ENSG00000278633,,,,,,
ENSG00000273748,,Frg1,ENSMUSG00000031590,ortholog_one2many,0,0
ENSG00000277196,,Prodh,ENSMUSG00000003526,ortholog_one2many,1,25
ENSG00000278066,,,,,,
ENSG00000274847,MAFIP,Tekt4,ENSMUSG00000024175,ortholog_one2many,0,0
ENSG00000274917,RNA5-8SN5,Gm55073,ENSMUSG00002075637,ortholog_one2one,0,
ENSG00000276256,,,,,,
ENSG00000278294,5_8S_rRNA,Gm54867,ENSMUSG00002075795,ortholog_one2many,1,
ENSG00000273730,5_8S_rRNA,,,,,
ENSG00000273937,,,,,,
ENSG00000278793,U6,,,,,
ENSG00000278817,,Dgcr6,ENSMUSG00000003531,ortholog_one2many,1,25
ENSG00000276017,,,,,,
ENSG00000275987,U1,,,,,
ENSG00000275661,,,,,,
ENSG00000276351,,Gm56421,ENSMUSG00002075214,ortholog_one2many,1,
ENSG00000268674,,,,,,
ENSG00000277475,,,,,,
ENSG00000276345,,Mrpl23,ENSMUSG00000037772,ortholog_one2many,1,0
ENSG00000275405,U1,,,,,
ENSG00000275063,,Ighv2-6-8,ENSMUSG00000076646,ortholog_many2many,0,0
ENSG00000275063,,Ighv3-5,ENSMUSG00000076670,ortholog_many2many,0,0
ENSG00000275063,,Ighv2-4,ENSMUSG00000095866,ortholog_many2many,0,0
ENSG00000275063,,Ighv2-9,ENSMUSG00000096638,ortholog_many2many,0,0
ENSG00000275063,,Ighv2-3,ENSMUSG00000094164,ortholog_many2many,0,0
ENSG00000275063,,Ighv3-4,ENSMUSG00000103939,ortholog_many2many,0,0
ENSG00000275063,,Ighv2-2,ENSMUSG00000096464,ortholog_many2many,0,0
ENSG00000275063,,Ighv3-6,ENSMUSG00000076672,ortholog_many2many,0,0
ENSG00000275063,,Ighv3-3,ENSMUSG00000094029,ortholog_many2many,0,0
ENSG00000275063,,Ighv2-7,ENSMUSG00000096824,ortholog_many2many,0,0
ENSG00000275063,,Ighv3-1,ENSMUSG00000093838,ortholog_many2many,0,0
ENSG00000275063,,Ighv3-8,ENSMUSG00000076674,ortholog_many2many,0,0
ENSG00000275063,,Ighv12-3,ENSMUSG00000076676,ortholog_many2many,0,0
ENSG00000275063,,Ighv2-6,ENSMUSG00000096670,ortholog_many2many,0,0
ENSG00000275063,,Ighv2-9-1,ENSMUSG00000095565,ortholog_many2many,0,0
ENSG00000275063,,Ighv2-5,ENSMUSG00000096498,ortholog_many2many,0,0
ENSG00000277856,,,,,,
ENSG00000274175,,,,,,
ENSG00000273532,,Gm56420,ENSMUSG00002076121,ortholog_one2many,1,
ENSG00000278384,,,,,,
ENSG00000273554,,Slc6a8,ENSMUSG00000019558,ortholog_one2many,1,0
ENSG00000275869,,,,,,
ENSG00000278510,,,,,,
ENSG00000273843,,,,,,
ENSG00000277836,,,,,,
ENSG00000276312,,,,,,
ENSG00000276700,RNA5-8SN4,,,,,
ENSG00000275757,5_8S_rRNA,,,,,
ENSG00000273739,,,,,,
ENSG00000288372,,,,,,
ENSG00000288288,,,,,,
ENSG00000288129,,,,,,
ENSG00000288472,LINC03015,,,,,
ENSG00000288417,LINC03014,,,,,
ENSG00000288502,,,,,,
ENSG00000288311,,,,,,
ENSG00000288449,,,,,,
ENSG00000288499,FAM20C,,,,,
ENSG00000288159,,,,,,
ENSG00000288431,,,,,,
ENSG00000276711,U2,,,,,
ENSG00000274202,U2,,,,,
ENSG00000288260,,,,,,
ENSG00000288430,RNU5B-4P,,,,,
ENSG00000288297,ECSCR,,,,,
ENSG00000288274,SMIM33,,,,,
ENSG00000288243,STING1,,,,,
ENSG00000288388,,,,,,
ENSG00000288138,NCOA4P4,,,,,
ENSG00000288319,,,,,,
ENSG00000288521,U6,,,,,
ENSG00000288394,ABCD1P4,,,,,
ENSG00000288228,,,,,,
ENSG00000288342,PABPC1P9,,,,,
ENSG00000288315,SLC9B1P4,,,,,
ENSG00000288272,ACTR3BP6,,,,,
ENSG00000290500,,,,,,
ENSG00000261958,OR9G1,,,,,
ENSG00000262191,OR9G9,,,,,
ENSG00000281683,,,,,,
ENSG00000262268,OR9G3P,,,,,
ENSG00000262647,OR9G4,,,,,
ENSG00000281777,OR9G2P,,,,,
ENSG00000281313,OR5G1P,,,,,
ENSG00000281279,OR5G4P,,,,,
ENSG00000262535,OR5G5P,,,,,
ENSG00000281107,OR5G3,,,,,
ENSG00000281839,LINC02735,,,,,
ENSG00000215601,TSPY24P,,,,,
ENSG00000215603,ZNF92P1Y,,,,,
ENSG00000231436,RBMY3AP,,,,,
ENSG00000225878,SERBP1P2,,,,,
ENSG00000236435,TSPY12P,,,,,
ENSG00000278478,,,,,,
ENSG00000258991,DUX4L19,,,,,
ENSG00000237048,TTTY12,,,,,
ENSG00000147761,TTTY7B,,,,,
ENSG00000224518,,,,,,
ENSG00000231988,OFD1P3Y,,,,,
ENSG00000238073,RBMY2HP,,,,,
ENSG00000275866,,,,,,
ENSG00000131538,TTTY6,,,,,
ENSG00000271595,ELOCP35,,,,,
ENSG00000183704,SLC9B1P1,,,,,
ENSG00000232927,USP12PY,,,,,
ENSG00000239225,TTTY23,,,,,
ENSG00000277438,KDM5DP1,,,,,
ENSG00000147753,TTTY7,,,,,
ENSG00000286217,LINC00279,,,,,
ENSG00000259154,DUX4L17,,,,,
ENSG00000169789,PRY,,,,,
ENSG00000231874,TSPY18P,,,,,
ENSG00000273589,,,,,,
ENSG00000226061,PCMTD1P1,,,,,
ENSG00000273863,,,,,,
ENSG00000228571,HSFY7P,,,,,
ENSG00000271375,,,,,,
ENSG00000224634,ZNF736P6Y,,,,,
ENSG00000285470,TUSC2P1,,,,,
ENSG00000226092,RBMY2AP,,,,,
ENSG00000212856,TTTY2B,,,,,
ENSG00000228890,TTTY21,,,,,
ENSG00000234620,PUDPP1,,,,,
ENSG00000236690,,,,,,
ENSG00000273693,CDRT15P10,,,,,
ENSG00000114374,USP9Y,Usp9y,ENSMUSG00000069044,ortholog_one2one,1,25
ENSG00000288263,GRK1,,,,,
ENSG00000288305,LINC00552,,,,,
ENSG00000169807,PRY2,,,,,
ENSG00000234110,TSPY25P,,,,,
ENSG00000223422,,,,,,
ENSG00000231159,OFD1P8Y,,,,,
ENSG00000225653,RNF19BPY,,,,,
ENSG00000251618,,,,,,
ENSG00000229159,TSPY23P,,,,,
ENSG00000228578,TUBB1P2,,,,,
ENSG00000231411,DUX4L31,,,,,
ENSG00000187657,TSPY13P,,,,,
ENSG00000275280,,,,,,
ENSG00000270242,ACTR3BP1,,,,,
ENSG00000236477,RPS24P1,,,,,
ENSG00000129816,TTTY1B,,,,,
ENSG00000237997,RCC2P2,,,,,
ENSG00000244246,ZNF736P8Y,,,,,
ENSG00000234950,RBMY2OP,,,,,
ENSG00000198692,EIF1AY,,,,,
ENSG00000234583,TSPY19P,,,,,
ENSG00000183753,BPY2,,,,,
ENSG00000225433,MTND1P12,,,,,
ENSG00000227166,STSP1,,,,,
ENSG00000228379,,,,,,
ENSG00000235857,CTBP2P1,,,,,
ENSG00000223955,MTND6P1,,,,,
ENSG00000237195,DLGAP5P1,,,,,
ENSG00000237447,CDC27P2,,,,,
ENSG00000185700,TTTY8B,,,,,
ENSG00000270455,PABPC1P5,,,,,
ENSG00000229940,TSPY22P,,,,,
ENSG00000234385,RCC2P1,,,,,
ENSG00000226863,SHROOM2P1,,,,,
ENSG00000212855,TTTY2,,,,,
ENSG00000237968,,,,,,
ENSG00000233699,TTTY18,,,,,
ENSG00000286009,,,,,,
ENSG00000271365,,,,,,
ENSG00000259029,DUX4L18,,,,,
ENSG00000226223,TSPY16P,,,,,
ENSG00000235895,,,,,,
ENSG00000286201,,,,,,
ENSG00000223744,RBMY2GP,,,,,
ENSG00000215537,ZNF736P11Y,,,,,
ENSG00000230476,OFD1P9Y,,,,,
ENSG00000225840,,,,,,
ENSG00000229745,BPY2DP,,,,,
ENSG00000291426,TOLLIP,,,,,
ENSG00000227204,RBMY2JP,,,,,
ENSG00000275828,CHEK2P1,,,,,
ENSG00000232617,,,,,,
ENSG00000225615,RBMY2UP,,,,,
ENSG00000230663,FAM224B,,,,,
ENSG00000232522,ZNF886P,,,,,
ENSG00000291427,TOLLIP-DT,,,,,
ENSG00000234131,ELOCP8,,,,,
ENSG00000291429,,,,,,
ENSG00000277519,OFD1P16Y,,,,,
ENSG00000291430,LINC02689,,,,,
ENSG00000259247,TTTY25P,,,,,
ENSG00000224336,FAM197Y1,,,,,
ENSG00000273731,,,,,,
ENSG00000291428,BRSK2,,,,,
ENSG00000236951,,,,,,
ENSG00000215583,ASS1P6,,,,,
ENSG00000274162,SNX18P1Y,,,,,
ENSG00000229208,RBMY2NP,,,,,
ENSG00000129845,TTTY1,,,,,
ENSG00000227444,,,,,,
ENSG00000233774,MED14P1,,,,,
ENSG00000232475,HSFY5P,,,,,
ENSG00000228764,ZNF885P,,,,,
ENSG00000232226,ARSFP1,,,,,
ENSG00000224567,,,,,,
ENSG00000241200,ZNF736P7Y,,,,,
ENSG00000228518,SURF6P1,,,,,
ENSG00000227447,XGY1,,,,,
ENSG00000291441,,,,,,
ENSG00000274231,,,,,,
ENSG00000291431,DUSP8,,,,,
ENSG00000286050,,,,,,
ENSG00000274502,ANKRD20A6P,,,,,
ENSG00000235094,,,,,,
ENSG00000291432,KRTAP5-AS1,,,,,
ENSG00000278854,,,,,,
ENSG00000183385,TTTY8,,,,,
ENSG00000291433,KRTAP5-1,,,,,
ENSG00000291434,KRTAP5-2,,,,,
ENSG00000291435,KRTAP5-3,,,,,
ENSG00000291440,KRTAP5-4,,,,,
ENSG00000291443,KRTAP5-5,,,,,
ENSG00000291436,,,,,,
ENSG00000225809,RBMY2KP,,,,,
ENSG00000291437,FAM99A,,,,,
ENSG00000237902,TSPY21P,,,,,
ENSG00000291438,FAM99B,,,,,
ENSG00000232419,TTTY19,,,,,
ENSG00000291439,LINC02708,,,,,
ENSG00000232620,TSPY17P,,,,,
ENSG00000291442,MOB2,,,,,
ENSG00000226906,TTTY4,,,,,
ENSG00000230025,,,,,,
ENSG00000236786,TSPY15P,,,,,
ENSG00000224075,TTTY22,,,,,
ENSG00000238235,TSPY11P,,,,,
ENSG00000274445,,,,,,
ENSG00000235649,MXRA5Y,,,,,
ENSG00000258567,DUX4L16,,,,,
ENSG00000236424,TSPY10,,,,,
ENSG00000234179,MTCYBP1,,,,,
ENSG00000271309,,,,,,
ENSG00000229553,USP9YP17,,,,,
ENSG00000228240,TTTY17A,,,,,
ENSG00000234652,AGPAT5P1,,,,,
ENSG00000218410,,,,,,
ENSG00000243643,TSPY20P,,,,,
ENSG00000224989,FAM41AY1,,,,,
ENSG00000131548,TTTY6B,,,,,
ENSG00000232029,ELOCP15,,,,,
ENSG00000273858,,,,,,
ENSG00000227830,TRIM60P3Y,,,,,
ENSG00000226529,MTND1P1,,,,,
ENSG00000229643,LINC00280,,,,,
ENSG00000274837,,,,,,
ENSG00000216777,PRRC2CP1,,,,,
ENSG00000216824,ZNF736P10Y,,,,,
ENSG00000275352,,,,,,
ENSG00000276829,,,,,,
ENSG00000258992,TSPY1,,,,,
ENSG00000228850,CDY12P,,,,,
ENSG00000283076,,,,,,
ENSG00000234850,MTND2P3,,,,,
ENSG00000224873,CDY13P,,,,,
ENSG00000229234,RBMY1KP,,,,,
ENSG00000270570,,,,,,
ENSG00000237563,TTTY21B,,,,,
ENSG00000223517,,,,,,
ENSG00000228207,,,,,,
ENSG00000224917,,,,,,
ENSG00000286187,,,,,,
ENSG00000225117,ARSDP1,,,,,
ENSG00000215560,TTTY5,,,,,
ENSG00000228411,CDY4P,,,,,
ENSG00000235059,,,,,,
ENSG00000244395,RBMY1D,Gm29289,ENSMUSG00000101667,ortholog_many2many,0,0
ENSG00000244395,RBMY1D,Gm21704,ENSMUSG00000093987,ortholog_many2many,0,0
ENSG00000244395,RBMY1D,Gm21693,ENSMUSG00000094511,ortholog_many2many,0,0
ENSG00000244395,RBMY1D,Gm21708,ENSMUSG00000095948,ortholog_many2many,0,0
ENSG00000244395,RBMY1D,Gm10352,ENSMUSG00000091987,ortholog_many2many,0,0
ENSG00000244395,RBMY1D,Gm4064,ENSMUSG00000102053,ortholog_many2many,0,0
ENSG00000244395,RBMY1D,Gm10256,ENSMUSG00000095852,ortholog_many2many,0,0
ENSG00000244395,RBMY1D,Rbmy,ENSMUSG00000094658,ortholog_many2many,0,0
ENSG00000244395,RBMY1D,Gm21677,ENSMUSG00000093918,ortholog_many2many,0,0
ENSG00000244395,RBMY1D,Gm3376,ENSMUSG00000096520,ortholog_many2many,0,0
ENSG00000230727,RBMY2WP,,,,,
ENSG00000230814,USP9YP24,,,,,
ENSG00000229725,,,,,,
ENSG00000229236,TTTY10,,,,,
ENSG00000229518,UBE2V1P3,,,,,
ENSG00000232730,FAM8A4P,,,,,
ENSG00000229308,,,,,,
ENSG00000244000,,,,,,
ENSG00000232764,TRIM60P8Y,,,,,
ENSG00000236131,MED13P1,,,,,
ENSG00000270073,TSPY6P,,,,,
ENSG00000227949,CYCSP46,,,,,
ENSG00000252900,RNU6-303P,,,,,
ENSG00000251766,RNA5SP518,,,,,
ENSG00000252689,,,,,,
ENSG00000243980,RN7SL702P,,,,,
ENSG00000252315,RNA5SP520,,,,,
ENSG00000252012,RNA5SP521,,,,,
ENSG00000273966,,,,,,
ENSG00000252173,RNU6-109P,,,,,
ENSG00000251705,RNA5-8SP6,,,,,
ENSG00000252289,RNA5SP519,,,,,
ENSG00000252323,RNU6-184P,,,,,
ENSG00000169953,HSFY2,Hsfy2,ENSMUSG00000045336,ortholog_one2many,0,0
ENSG00000236429,GPM6BP2,,,,,
ENSG00000249501,USP9YP2,,,,,
ENSG00000228193,ELOCP14,,,,,
ENSG00000248573,PRYP6,,,,,
ENSG00000230904,XKRYP2,,,,,
ENSG00000238135,USP9YP10,,,,,
ENSG00000224151,USP9YP28,,,,,
ENSG00000251970,RNU1-41P,,,,,
ENSG00000238088,OFD1P7Y,,,,,
ENSG00000217179,MTCYBP2,,,,,
ENSG00000217896,ZNF839P1,,,,,
ENSG00000185275,CD24P4,,,,,
ENSG00000252766,RNU6-255P,,,,,
ENSG00000274282,,,,,,
ENSG00000234529,GAPDHP19,,,,,
ENSG00000238191,CLUHP1,,,,,
ENSG00000226353,TAF9P1,,,,,
ENSG00000275578,,,,,,
ENSG00000226449,CDY5P,,,,,
ENSG00000225896,ELOCP36,,,,,
ENSG00000224166,PRYP1,,,,,
ENSG00000229129,ACTG1P2,,,,,
ENSG00000223555,USP9YP23,,,,,
ENSG00000235521,USP9YP27,,,,,
ENSG00000252513,RNU1-128P,,,,,
ENSG00000224964,TRAPPC2P3,,,,,
ENSG00000226011,OFD1P1Y,,,,,
ENSG00000225740,ELOCP6,,,,,
ENSG00000229138,CDY6P,,,,,
ENSG00000224485,USP9YP7,,,,,
ENSG00000226116,USP9YP6,,,,,
ENSG00000237558,CDY7P,,,,,
ENSG00000233378,USP9YP34,,,,,
ENSG00000237616,USP9YP32,,,,,
ENSG00000224033,CDY8P,,,,,
ENSG00000230412,ELOCP12,,,,,
ENSG00000225895,TRAPPC2P8,,,,,
ENSG00000233120,USP9YP15,,,,,
ENSG00000252166,RNU1-95P,,,,,
ENSG00000232744,USP9YP16,,,,,
ENSG00000229465,ACTG1P11,,,,,
ENSG00000231311,PRYP2,,,,,
ENSG00000236599,ELOCP26,,,,,
ENSG00000232899,CDY9P,,,,,
ENSG00000229302,TAF9P2,,,,,
ENSG00000228945,CLUHP2,,,,,
ENSG00000233522,FAM224A,,,,,
ENSG00000278391,,,,,,
ENSG00000251953,RNA5SP522,,,,,
ENSG00000252667,RNA5SP523,,,,,
ENSG00000249726,TUBB1P1,,,,,
ENSG00000225716,ELOCP13,,,,,
ENSG00000229406,OFD1P4Y,,,,,
ENSG00000227494,USP9YP14,,,,,
ENSG00000252209,RNU1-48P,,,,,
ENSG00000249634,USP9YP5,,,,,
ENSG00000251510,,,,,,
ENSG00000238067,XKRYP1,,,,,
ENSG00000233546,PRYP5,,,,,
ENSG00000230377,ELOCP7,,,,,
ENSG00000250951,USP9YP1,,,,,
ENSG00000230458,GPM6BP1,,,,,
ENSG00000131007,TTTY9B,,,,,
ENSG00000235479,RAB9AP4,,,,,
ENSG00000249606,TRAPPC2P7,,,,,
ENSG00000176728,TTTY14,,,,,
ENSG00000291444,RBMY3AP,,,,,
ENSG00000291445,CDY3P,,,,,
ENSG00000291446,TSPY25P,,,,,
ENSG00000291447,USP9YP22,,,,,
ENSG00000291448,TSPY16P,,,,,
ENSG00000291449,USP9YP4,,,,,
ENSG00000291450,ELOCP4,,,,,
ENSG00000291451,RBMY1A3P,,,,,
ENSG00000291452,,,,,,
ENSG00000267793,,,,,,
ENSG00000291453,TTTY20,,,,,
ENSG00000260197,,,,,,
ENSG00000291455,TSPY8,,,,,
ENSG00000288049,,,,,,
ENSG00000291456,FAM197Y7,,,,,
ENSG00000012817,KDM5D,Kdm5d,ENSMUSG00000056673,ortholog_one2one,1,0
ENSG00000291457,,,,,,
ENSG00000291458,TSPY4,,,,,
ENSG00000291459,TSPY9,,,,,
ENSG00000291460,FAM197Y2,,,,,
ENSG00000291461,FAM197Y4,,,,,
ENSG00000291462,FAM197Y4,,,,,
ENSG00000291454,FAM197Y8,,,,,
ENSG00000293355,FAM197Y8,,,,,
ENSG00000172468,HSFY1,Hsfy2,ENSMUSG00000045336,ortholog_one2many,0,0
ENSG00000176679,TGIF2LY,Tgif2lx2,ENSMUSG00000100194,ortholog_many2many,0,25
ENSG00000176679,TGIF2LY,Tgif2lx1,ENSMUSG00000100133,ortholog_many2many,0,0
ENSG00000169800,RBMY1F,Gm29289,ENSMUSG00000101667,ortholog_many2many,0,0
ENSG00000169800,RBMY1F,Gm21704,ENSMUSG00000093987,ortholog_many2many,0,0
ENSG00000169800,RBMY1F,Gm21693,ENSMUSG00000094511,ortholog_many2many,0,0
ENSG00000169800,RBMY1F,Gm21708,ENSMUSG00000095948,ortholog_many2many,0,0
ENSG00000169800,RBMY1F,Gm10352,ENSMUSG00000091987,ortholog_many2many,0,0
ENSG00000169800,RBMY1F,Gm4064,ENSMUSG00000102053,ortholog_many2many,0,0
ENSG00000169800,RBMY1F,Gm10256,ENSMUSG00000095852,ortholog_many2many,0,0
ENSG00000169800,RBMY1F,Rbmy,ENSMUSG00000094658,ortholog_many2many,0,0
ENSG00000169800,RBMY1F,Gm21677,ENSMUSG00000093918,ortholog_many2many,0,0
ENSG00000169800,RBMY1F,Gm3376,ENSMUSG00000096520,ortholog_many2many,0,0
ENSG00000285019,ELOCP5,,,,,
ENSG00000285196,CDY10P,,,,,
ENSG00000285308,USP9YP3,,,,,
ENSG00000285028,USP9YP8,,,,,
ENSG00000285455,CDY11P,,,,,
ENSG00000285477,OFD1P16Y,,,,,
ENSG00000182415,CDY2A,,,,,
ENSG00000233126,ZNF736P3Y,,,,,
ENSG00000227251,TRIM60P9Y,,,,,
ENSG00000252633,RN7SKP282,,,,,
ENSG00000251996,Y_RNA,Gm24379,ENSMUSG00000084644,ortholog_one2many,0,
ENSG00000252155,RNU6-941P,Gm22578,ENSMUSG00000065664,ortholog_many2many,0,
ENSG00000252155,RNU6-941P,Gm23790,ENSMUSG00000118948,ortholog_many2many,0,
ENSG00000252472,RNU6-521P,,,,,
ENSG00000224953,SRIP3,,,,,
ENSG00000274365,,,,,,
ENSG00000233634,GOT2P5,,,,,
ENSG00000237701,ATP5PFP1,,,,,
ENSG00000273906,,,,,,
ENSG00000232976,TRIM60P10Y,,,,,
ENSG00000226270,ZNF736P2Y,,,,,
ENSG00000227837,TRIM60P11Y,,,,,
ENSG00000278602,,,,,,
ENSG00000223978,ZNF736P1Y,,,,,
ENSG00000278197,,,,,,
ENSG00000230819,ZNF736P5Y,,,,,
ENSG00000185894,BPY2C,,,,,
ENSG00000228296,TTTY4C,,,,,
ENSG00000205916,DAZ4,,,,,
ENSG00000282467,,,,,,
ENSG00000129873,CDY2B,,,,,
ENSG00000251841,RNU6-1334P,,,,,
ENSG00000184895,SRY,Sry,ENSMUSG00000069036,ortholog_one2one,0,0
ENSG00000237659,RNASEH2CP1,,,,,
ENSG00000232195,TOMM22P2,,,,,
ENSG00000286130,,,,,,
ENSG00000129824,RPS4Y1,,,,,
ENSG00000284255,OR4C12,,,,,
ENSG00000284278,OR4C48P,,,,,
ENSG00000284123,OR4C49P,,,,,
ENSG00000292249,OR4C45,,,,,
ENSG00000229163,NAP1L1P2,,,,,
ENSG00000278847,,,,,,
ENSG00000067646,ZFY,,,,,
ENSG00000233070,ZFY-AS1,,,,,
ENSG00000223600,EEF1A1P41,,,,,
ENSG00000215414,PSMA6P1,,,,,
ENSG00000224035,SFPQP1,,,,,
ENSG00000223915,DPPA2P1,,,,,
ENSG00000067048,DDX3Y,Ddx3y,ENSMUSG00000069045,ortholog_one2one,1,25
ENSG00000234059,CASKP1,,,,,
ENSG00000183878,UTY,Uty,ENSMUSG00000068457,ortholog_one2one,0,0
ENSG00000284767,MIR3649,,,,,
ENSG00000285070,ADIPOR2,,,,,
ENSG00000285310,,,,,,
ENSG00000285682,,,,,,
ENSG00000284817,RPS4XP14,,,,,
ENSG00000284953,CACNA2D4,,,,,
ENSG00000286298,,,,,,
ENSG00000285383,LRTM2,,,,,
ENSG00000285149,,,,,,
ENSG00000285233,LINC00940,,,,,
ENSG00000284850,DCP1B,,,,,
ENSG00000285355,,,,,,
ENSG00000285291,CACNA1C-IT1,,,,,
ENSG00000285324,,,,,,
ENSG00000285107,CACNA1C-AS4,,,,,
ENSG00000284775,CACNA1C-IT3,,,,,
ENSG00000285924,,,,,,
ENSG00000285983,,,,,,
ENSG00000284942,CACNA1C-AS3,,,,,
ENSG00000284759,,,,,,
ENSG00000285101,CACNA1C-AS2,,,,,
ENSG00000285335,CACNA1C-AS1,,,,,
ENSG00000285479,CACNA1C,,,,,
ENSG00000154620,TMSB4Y,Tmsb4x,ENSMUSG00000049775,ortholog_one2one,1,0
ENSG00000129864,VCY,,,,,
ENSG00000187191,DAZ3,,,,,
ENSG00000188120,DAZ1,,,,,
ENSG00000205936,PPP1R12BP2,,,,,
ENSG00000251925,SNORA70,Gm22362,ENSMUSG00000065036,ortholog_one2many,0,
ENSG00000286744,,,,,,
ENSG00000225189,REREP1Y,,,,,
ENSG00000230073,,,,,,
ENSG00000236647,,,,,,
ENSG00000099721,AMELY,,,,,
ENSG00000092377,TBL1Y,Tbl1x,ENSMUSG00000025246,ortholog_one2many,1,0
ENSG00000232583,GPR143YP,,,,,
ENSG00000205944,DAZ2,,,,,
ENSG00000168757,TSPY2,,,,,
ENSG00000226555,AGKP1,,,,,
ENSG00000228787,NLGN4Y-AS1,,,,,
ENSG00000242389,RBMY1E,Gm29289,ENSMUSG00000101667,ortholog_many2many,0,0
ENSG00000242389,RBMY1E,Gm21704,ENSMUSG00000093987,ortholog_many2many,0,0
ENSG00000242389,RBMY1E,Gm21693,ENSMUSG00000094511,ortholog_many2many,0,0
ENSG00000242389,RBMY1E,Gm21708,ENSMUSG00000095948,ortholog_many2many,0,0
ENSG00000242389,RBMY1E,Gm10352,ENSMUSG00000091987,ortholog_many2many,0,0
ENSG00000242389,RBMY1E,Gm4064,ENSMUSG00000102053,ortholog_many2many,0,0
ENSG00000242389,RBMY1E,Gm10256,ENSMUSG00000095852,ortholog_many2many,0,0
ENSG00000242389,RBMY1E,Rbmy,ENSMUSG00000094658,ortholog_many2many,0,0
ENSG00000242389,RBMY1E,Gm21677,ENSMUSG00000093918,ortholog_many2many,0,0
ENSG00000242389,RBMY1E,Gm3376,ENSMUSG00000096520,ortholog_many2many,0,0
ENSG00000165246,NLGN4Y,,ENSMUSG00000121607,ortholog_one2many,0,0
ENSG00000280963,SERTAD4-AS1,,,,,
ENSG00000281230,SERTAD4,,,,,
ENSG00000281067,ST13P19,,,,,
ENSG00000281552,,,,,,
ENSG00000280680,HHAT,,,,,
ENSG00000231535,LINC00278,,,,,
ENSG00000229343,CDY22P,,,,,
ENSG00000287371,,,,,,
ENSG00000232695,ELOCP17,,,,,
ENSG00000235511,OFD1P18Y,,,,,
ENSG00000281499,RNU5A-8P,,,,,
ENSG00000287648,,,,,,
ENSG00000232914,TRAPPC2P4,,,,,
ENSG00000280937,BPNT2P1,,,,,
ENSG00000223655,RAB9AP3,,,,,
ENSG00000230854,USP9YP20,,,,,
ENSG00000252625,RNU1-40P,,,,,
ENSG00000227635,USP9YP21,,,,,
ENSG00000237546,XKRYP6,,,,,
ENSG00000172283,PRYP4,,,,,
ENSG00000227867,ELOCP11,,,,,
ENSG00000231716,CDY23P,,,,,
ENSG00000234744,USP9YP26,,,,,
ENSG00000233156,HSFY8P,,,,,
ENSG00000234888,OFD1P15Y,,,,,
ENSG00000235014,REREP2Y,,,,,
