Gene stable ID,Gene name,Human gene name,Human gene stable ID,Human homology type,"Human orthology confidence [0 low, 1 high]",Human Gene-order conservation score
ENSMUSG00002076890,,,,,,
ENSMUSG00002074970,,,,,,
ENSMUSG00000095041,,,,,,
ENSMUSG00000095019,,,,,,
ENSMUSG00000094303,,PRAMEF7,ENSG00000204510,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAMEF20,ENSG00000204478,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAMEF1,ENSG00000116721,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAMEF12,ENSG00000116726,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAMEF10,ENSG00000187545,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAME,ENSG00000185686,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAMEF27,ENSG00000274764,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAMEF26,ENSG00000280267,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAMEF5,ENSG00000270601,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAMEF33,ENSG00000237700,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAMEF15,ENSG00000204501,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAMEF6,ENSG00000232423,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAMEF4,ENSG00000243073,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAMEF14,ENSG00000204481,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAMEF11,ENSG00000239810,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAMEF19,ENSG00000204480,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAMEF25,ENSG00000229571,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAMEF13,ENSG00000279169,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAMEF9,ENSG00000204505,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAMEF2,ENSG00000120952,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAMEF18,ENSG00000279804,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAMEF8,ENSG00000182330,ortholog_many2many,0,0
ENSMUSG00000094303,,PRAMEF17,ENSG00000204479,ortholog_many2many,0,0
ENSMUSG00000094915,,SP100,ENSG00000067066,ortholog_one2many,0,0
ENSMUSG00000095666,,PRAMEF7,ENSG00000204510,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAMEF20,ENSG00000204478,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAMEF1,ENSG00000116721,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAMEF12,ENSG00000116726,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAMEF10,ENSG00000187545,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAME,ENSG00000185686,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAMEF27,ENSG00000274764,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAMEF26,ENSG00000280267,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAMEF5,ENSG00000270601,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAMEF33,ENSG00000237700,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAMEF15,ENSG00000204501,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAMEF6,ENSG00000232423,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAMEF4,ENSG00000243073,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAMEF14,ENSG00000204481,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAMEF11,ENSG00000239810,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAMEF19,ENSG00000204480,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAMEF25,ENSG00000229571,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAMEF13,ENSG00000279169,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAMEF9,ENSG00000204505,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAMEF2,ENSG00000120952,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAMEF18,ENSG00000279804,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAMEF8,ENSG00000182330,ortholog_many2many,0,0
ENSMUSG00000095666,,PRAMEF17,ENSG00000204479,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF7,ENSG00000204510,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF20,ENSG00000204478,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF1,ENSG00000116721,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF12,ENSG00000116726,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF10,ENSG00000187545,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAME,ENSG00000185686,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF27,ENSG00000274764,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF26,ENSG00000280267,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF5,ENSG00000270601,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF33,ENSG00000237700,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF15,ENSG00000204501,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF6,ENSG00000232423,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF4,ENSG00000243073,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF14,ENSG00000204481,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF11,ENSG00000239810,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF19,ENSG00000204480,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF25,ENSG00000229571,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF13,ENSG00000279169,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF9,ENSG00000204505,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF2,ENSG00000120952,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF18,ENSG00000279804,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF8,ENSG00000182330,ortholog_many2many,0,0
ENSMUSG00000094836,,PRAMEF17,ENSG00000204479,ortholog_many2many,0,0
ENSMUSG00002074899,,,,,,
ENSMUSG00002075400,,,,,,
ENSMUSG00000094722,,PRAMEF7,ENSG00000204510,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAMEF20,ENSG00000204478,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAMEF1,ENSG00000116721,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAMEF12,ENSG00000116726,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAMEF10,ENSG00000187545,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAME,ENSG00000185686,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAMEF27,ENSG00000274764,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAMEF26,ENSG00000280267,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAMEF5,ENSG00000270601,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAMEF33,ENSG00000237700,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAMEF15,ENSG00000204501,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAMEF6,ENSG00000232423,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAMEF4,ENSG00000243073,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAMEF14,ENSG00000204481,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAMEF11,ENSG00000239810,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAMEF19,ENSG00000204480,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAMEF25,ENSG00000229571,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAMEF13,ENSG00000279169,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAMEF9,ENSG00000204505,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAMEF2,ENSG00000120952,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAMEF18,ENSG00000279804,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAMEF8,ENSG00000182330,ortholog_many2many,0,0
ENSMUSG00000094722,,PRAMEF17,ENSG00000204479,ortholog_many2many,0,0
ENSMUSG00000096776,Vmn1r186,,,,,
ENSMUSG00000079800,,,,,,
ENSMUSG00000095250,,SP110,ENSG00000135899,ortholog_one2many,0,0
ENSMUSG00000094741,,PRAMEF7,ENSG00000204510,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAMEF20,ENSG00000204478,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAMEF1,ENSG00000116721,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAMEF12,ENSG00000116726,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAMEF10,ENSG00000187545,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAME,ENSG00000185686,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAMEF27,ENSG00000274764,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAMEF26,ENSG00000280267,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAMEF5,ENSG00000270601,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAMEF33,ENSG00000237700,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAMEF15,ENSG00000204501,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAMEF6,ENSG00000232423,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAMEF4,ENSG00000243073,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAMEF14,ENSG00000204481,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAMEF11,ENSG00000239810,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAMEF19,ENSG00000204480,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAMEF25,ENSG00000229571,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAMEF13,ENSG00000279169,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAMEF9,ENSG00000204505,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAMEF2,ENSG00000120952,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAMEF18,ENSG00000279804,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAMEF8,ENSG00000182330,ortholog_many2many,0,0
ENSMUSG00000094741,,PRAMEF17,ENSG00000204479,ortholog_many2many,0,0
ENSMUSG00002075729,,,,,,
ENSMUSG00000079808,,SP110,ENSG00000135899,ortholog_one2many,0,0
ENSMUSG00000095787,,,,,,
ENSMUSG00000096244,,,,,,
ENSMUSG00000074720,,PRAMEF7,ENSG00000204510,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAMEF20,ENSG00000204478,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAMEF1,ENSG00000116721,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAMEF12,ENSG00000116726,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAMEF10,ENSG00000187545,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAME,ENSG00000185686,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAMEF27,ENSG00000274764,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAMEF26,ENSG00000280267,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAMEF5,ENSG00000270601,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAMEF33,ENSG00000237700,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAMEF15,ENSG00000204501,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAMEF6,ENSG00000232423,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAMEF4,ENSG00000243073,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAMEF14,ENSG00000204481,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAMEF11,ENSG00000239810,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAMEF19,ENSG00000204480,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAMEF25,ENSG00000229571,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAMEF13,ENSG00000279169,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAMEF9,ENSG00000204505,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAMEF2,ENSG00000120952,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAMEF18,ENSG00000279804,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAMEF8,ENSG00000182330,ortholog_many2many,0,0
ENSMUSG00000074720,,PRAMEF17,ENSG00000204479,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF7,ENSG00000204510,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF20,ENSG00000204478,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF1,ENSG00000116721,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF12,ENSG00000116726,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF10,ENSG00000187545,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAME,ENSG00000185686,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF27,ENSG00000274764,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF26,ENSG00000280267,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF5,ENSG00000270601,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF33,ENSG00000237700,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF15,ENSG00000204501,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF6,ENSG00000232423,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF4,ENSG00000243073,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF14,ENSG00000204481,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF11,ENSG00000239810,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF19,ENSG00000204480,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF25,ENSG00000229571,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF13,ENSG00000279169,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF9,ENSG00000204505,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF2,ENSG00000120952,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF18,ENSG00000279804,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF8,ENSG00000182330,ortholog_many2many,0,0
ENSMUSG00000096236,,PRAMEF17,ENSG00000204479,ortholog_many2many,0,0
ENSMUSG00000095092,,SP110,ENSG00000135899,ortholog_one2many,0,0
ENSMUSG00000094383,,PRAMEF7,ENSG00000204510,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAMEF20,ENSG00000204478,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAMEF1,ENSG00000116721,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAMEF12,ENSG00000116726,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAMEF10,ENSG00000187545,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAME,ENSG00000185686,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAMEF27,ENSG00000274764,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAMEF26,ENSG00000280267,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAMEF5,ENSG00000270601,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAMEF33,ENSG00000237700,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAMEF15,ENSG00000204501,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAMEF6,ENSG00000232423,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAMEF4,ENSG00000243073,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAMEF14,ENSG00000204481,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAMEF11,ENSG00000239810,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAMEF19,ENSG00000204480,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAMEF25,ENSG00000229571,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAMEF13,ENSG00000279169,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAMEF9,ENSG00000204505,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAMEF2,ENSG00000120952,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAMEF18,ENSG00000279804,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAMEF8,ENSG00000182330,ortholog_many2many,0,0
ENSMUSG00000094383,,PRAMEF17,ENSG00000204479,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF7,ENSG00000204510,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF20,ENSG00000204478,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF1,ENSG00000116721,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF12,ENSG00000116726,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF10,ENSG00000187545,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAME,ENSG00000185686,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF27,ENSG00000274764,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF26,ENSG00000280267,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF5,ENSG00000270601,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF33,ENSG00000237700,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF15,ENSG00000204501,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF6,ENSG00000232423,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF4,ENSG00000243073,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF14,ENSG00000204481,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF11,ENSG00000239810,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF19,ENSG00000204480,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF25,ENSG00000229571,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF13,ENSG00000279169,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF9,ENSG00000204505,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF2,ENSG00000120952,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF18,ENSG00000279804,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF8,ENSG00000182330,ortholog_many2many,0,0
ENSMUSG00000096680,,PRAMEF17,ENSG00000204479,ortholog_many2many,0,0
ENSMUSG00000096100,,,,,,
ENSMUSG00000079192,,,,,,
ENSMUSG00000094337,,PRAMEF7,ENSG00000204510,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAMEF20,ENSG00000204478,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAMEF1,ENSG00000116721,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAMEF12,ENSG00000116726,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAMEF10,ENSG00000187545,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAME,ENSG00000185686,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAMEF27,ENSG00000274764,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAMEF26,ENSG00000280267,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAMEF5,ENSG00000270601,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAMEF33,ENSG00000237700,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAMEF15,ENSG00000204501,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAMEF6,ENSG00000232423,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAMEF4,ENSG00000243073,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAMEF14,ENSG00000204481,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAMEF11,ENSG00000239810,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAMEF19,ENSG00000204480,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAMEF25,ENSG00000229571,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAMEF13,ENSG00000279169,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAMEF9,ENSG00000204505,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAMEF2,ENSG00000120952,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAMEF18,ENSG00000279804,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAMEF8,ENSG00000182330,ortholog_many2many,0,0
ENSMUSG00000094337,,PRAMEF17,ENSG00000204479,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF7,ENSG00000204510,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF20,ENSG00000204478,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF1,ENSG00000116721,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF12,ENSG00000116726,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF10,ENSG00000187545,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAME,ENSG00000185686,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF27,ENSG00000274764,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF26,ENSG00000280267,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF5,ENSG00000270601,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF33,ENSG00000237700,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF15,ENSG00000204501,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF6,ENSG00000232423,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF4,ENSG00000243073,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF14,ENSG00000204481,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF11,ENSG00000239810,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF19,ENSG00000204480,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF25,ENSG00000229571,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF13,ENSG00000279169,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF9,ENSG00000204505,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF2,ENSG00000120952,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF18,ENSG00000279804,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF8,ENSG00000182330,ortholog_many2many,0,0
ENSMUSG00000096756,,PRAMEF17,ENSG00000204479,ortholog_many2many,0,0
ENSMUSG00000094054,,,,,,
ENSMUSG00000095505,,PRAMEF7,ENSG00000204510,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAMEF20,ENSG00000204478,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAMEF1,ENSG00000116721,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAMEF12,ENSG00000116726,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAMEF10,ENSG00000187545,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAME,ENSG00000185686,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAMEF27,ENSG00000274764,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAMEF26,ENSG00000280267,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAMEF5,ENSG00000270601,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAMEF33,ENSG00000237700,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAMEF15,ENSG00000204501,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAMEF6,ENSG00000232423,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAMEF4,ENSG00000243073,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAMEF14,ENSG00000204481,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAMEF11,ENSG00000239810,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAMEF19,ENSG00000204480,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAMEF25,ENSG00000229571,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAMEF13,ENSG00000279169,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAMEF9,ENSG00000204505,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAMEF2,ENSG00000120952,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAMEF18,ENSG00000279804,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAMEF8,ENSG00000182330,ortholog_many2many,0,0
ENSMUSG00000095505,,PRAMEF17,ENSG00000204479,ortholog_many2many,0,0
ENSMUSG00000095672,,SP110,ENSG00000135899,ortholog_one2many,0,0
ENSMUSG00000079794,,,,,,
ENSMUSG00000094474,,PRAMEF7,ENSG00000204510,ortholog_many2many,0,0
ENSMUSG00000094474,,PRAMEF20,ENSG00000204478,ortholog_many2many,0,0
ENSMUSG00000094474,,PRAMEF1,ENSG00000116721,ortholog_many2many,0,0
ENSMUSG00000094474,,PRAMEF12,ENSG00000116726,ortholog_many2many,0,0
ENSMUSG00000094474,,PRAMEF10,ENSG00000187545,ortholog_many2many,0,0
ENSMUSG00000094474,,PRAME,ENSG00000185686,ortholog_many2many,0,0
ENSMUSG00000094474,,PRAMEF27,ENSG00000274764,ortholog_many2many,0,0
ENSMUSG00000094474,,PRAMEF26,ENSG00000280267,ortholog_many2many,0,0
